0,alemanno
1,aangegeven
2,obstakel
3,redenen
4,actief
5,heffingen
6,beoordeeld
7,waarborgen
8,gepaste
9,gevoelige
10,douanerechten
11,geharmoniseerd
12,voorspoed
13,optie
14,corruptiezaken
15,verrichte
16,gewaarborgde
17,brug
18,verduistering
19,nabuurschap
20,soms
21,het
22,voorwaarden
23,centrale positie
24,zich
25,verspreiding
26,toegetreden
27,def.
28,gedragsprincipes
29,ondertekend
30,onthaal
31,handel
32,kwalitatieve analyse
33,effectindicatoren
34,niet-omzetting
35,entiteit
36,zorg
37,beoordelingen
38,ondervinden
39,uzelf
40,toetredingsvoorbereidingen
41,uitgaan
42,eerbiedigen
43,oefenen
44,doeken
45,nagestreefde
46,beëindiging
47,beheerst
48,stem
49,aan te duiden
50,toegenomen
51,toetreding
52,aangifte
53,overheidsdienst
54,omkoping
55,bevonden
56,afleggen
57,interinstitutioneel
58,activiteiten
59,onder de term controle
60,amendementen
61,bewijs
62,stimulering
63,zaak
64,verschaft
65,gecentraliseerd beheer
66,aangelegde
67,inachtneming
68,onverenigbaarheden
69,buurlanden
70,stemvrijheid
71,gerelateerde
72,ondersteunen
73,onderhavige
74,vertrouwelijkheid
75,licht
76,overeenstemmen
77,overgedragen
78,verbieden
79,ondubbelzinnig
80,tonen
81,doelgerichte
82,leverancier
83,vennootschappen
84,evaluatieverslag
85,onderzoekt
86,verzocht om de aanvraag
87,handelingen
88,onbetwist
89,samenhangen
90,methode
91,stijgen
92,voorgenomen
93,zakenbelangen
94,beginselen
95,prestaties
96,uitgegeven
97,partijfinanciering
98,middel
99,beschouwd
100,beoogde
101,vermenigvuldigen
102,verslagen
103,onregelmatige
104,eigenaar
105,zelden
106,wetshandhaving
107,verlenging
108,unodc
109,anti-corruptiebeleid
110,gemeenschappelijk
111,subdoelstellingen
112,sancties
113,niet-gesplitste kredieten
114,geldigheid
115,bedrijfsrekeningen
116,deskundigengroep
117,doorgevoerd
118,regels
119,eurojust
120,actoren
121,coördinatoren
122,gang
123,bedrijfsleven
124,zijnen
125,bedrijfspraktijken
126,toetsing
127,middelgrote
128,opgezet
129,protocollen
130,ontradend
131,eu-begroting
132,strekken
133,eu-bbp
134,akkoord
135,vennootschap
136,bewijslast
137,geratificeerd
138,landenbezoeken
139,inlichtingen
140,ontwikkelingshulp
141,handhavingsmaatregelen
142,leden
143,wereldeconomie
144,inwerkingtreding
145,rechtsgrondslagen
146,optreedt
147,uitmonden
148,uitvoerbaarheid
149,beoordeelt
150,omzetting
151,zit
152,beleidsterreinen
153,c-11
154,hoofd
155,verplichtingen
156,belastingen
157,paspoort
158,verbeurdverklaren
159,grensoverschrijdend
160,gegevensverwerking
161,circulatie
162,venture
163,berechting
164,zulks
165,functies
166,transparantie
167,kostenraming
168,gericht
169,rechtsstelsel
170,basisdelicten
171,zitting
172,rechtsbescherming
173,omvatten
174,voorrang
175,uitnodigen om
176,uitbuiting
177,belonen
178,recuperatie
179,steunverlening
180,leidinggevende
181,nationaal beleid
182,unie
183,gezorgd
184,onder verschillende vormen
185,veelheid
